APR/REQ NUM,FY APR,APR Object ID,APR Create DT,APR Create Date,APR Released to Routing,Req OBJ ID,REQ Create DT,REQ Create Date,REQ Released to Route,INCOMING MIPR,SCRM ASRS Attached,Requisitioner,Requisitioner Email,Office,Phone,Required Delivery,Acquisition Method,Rec Award Action Type,PURPOSE REQ,Type of IT Acquisition,REQ INCLUDE ICS,Cleared Contractor,Product Desc,Sole Source,Vendor 1,Vedor 2,Vendor 3,Suggested Vendor,Auth AMT,System,Prod Cat,Serv Cat,How,Where,FILE1_NAME,FILE1_LINK,FILE2_NAME,FILE2_LINK,FILE3_NAME,FILE3_LINK,DOCUMENT_CLASSIFICATION,CAVEAT,TERMS,DECLASSIFY_EVENT,DECLASSIFY_DATE,DECLASSIFY_CODE,DECLASSIFIED_BY,SECURITY_METHOD,First IT Approval,Multiple Review,CONTRACT PIN,MOD NUM,OBLIG DATE,ISSUE DATE,AWARD VENDOR,Line Tot,Commit Amt,Obligated
100-0001-17-Z,2018,201610031146040165,201610031146040165,10/3/2016    11:46:04AM,10/3/2016,,,,,,No,"Ali, Philemon",joe.bagadonuts@abc.de.fgh,ABC3A1,123-456-7891,10/14/2016,,,Comprehensive Information syste security,IT Services w/ or w/o Goods,,,Comprehensive Information syste security,,TBD,,,TBD,0.00,N/A,Information Assurance,Service,N/A,NE,,,,,100-0001-17-Z_DD254,https://xxxxxxxxxxxx,Unclassified,,None,,,,,,10/4/2016,,,,,,,,,
100-0002-17-Z,2017,201610031155080459,201610031155080459,10/3/2016    11:55:08AM,10/3/2016,,,,,,No,"Bagadonuts, Joe",joe.bagadonuts@abc.de.fgh,ABC3A1,123-456-7891,10/14/2016,,modification,Labor,IT Services w/ or w/o Goods,,,Labor,,TBD,,,TBD,0.00,N/A,Information Assurance,Service,N/A,NE,,,,,100-0002-17-Z_DD254,https://xxxxxxxxxxxx,Unclassified,,None,,,,,,10/4/2016,,,,,,,,,
100-0003-17-Z,2017,201610031700240866,201610031700240866,10/3/2016      5:00:24PM,10/5/2016,201610051435480356,201610051435480356,10/5/2016,10/12/2016,Yes,No,"Bagadonuts, ali",joe.bagadonuts@abc.de.fgh,ABC3A1,123-456-7891,10/16/2016,,modification,Virtual Computing,IT Goods Only,,,Virtual Computing,,GC Micro Corporation3910 Cypress Drive Petaluma CA 95954,,,GC Micro Corporation3910 Cypress Drive Petaluma CA 95954,0.00,For JWICS,User Environment,Maintenance,Via Configuration Management,NE,,,,,100-0003-17-Z_DD254,https://xxxxxxxxxxxx,Unclassified,FOUO,None,,,,,,10/4/2016,,,,,,,,,
100-0004-17-Z,2017,201610040950450136,201610040950450136,10/4/2016      9:50:45AM,10/4/2016,,,,,,No,"Bagadonuts, Joe",joe.bagadonuts@abc.de.fgh,ABC3A1,123-456-7891,11/18/2016,Full & Open Competition,new,Enterprise Data Storage,IT Goods Only,,,Enterprise Data Storage,,SEWP,,,SEWP,0.00,For JWICS; For SIPR,Infrastructure; Computing Environment,Service,Onsite and Remote Support,Worldwide,,,100-0004-17-Z_IGCE.pdf,https://xxxxxxxxxxxx,100-0004-17-Z_DD254,https://xxxxxxxxxxxx,Unclassified,FOUO,None,,,,,,10/4/2016,,,,,,,,,
100-0005-17-Z,2017,201610041141040237,201610041141040237,10/4/2016     11:41:04AM,10/5/2016,201610131453270994,201610131453270994,10/13/2016,10/13/2016,No,No,"Bagadonuts, Joe",joe.bagadonuts@abc.de.fgh,ABC3A1,123-456-7891,10/31/2016,Full & Open Competition,modification,Applications Sustainment,IT Services w/ or w/o Goods,,Yes,Applications Sustainment,,NORTHROP GRUMMAN ENTERPRISE MANAGEMENT SERVICES,,,NORTHROP GRUMMAN ENTERPRISE MANAGEMENT SERVICES,0.00,For StoneGhost; For JWICS,Computing Environment,Service,Electronically,NE and Global,100-0005-17-Z_PWS.pdf,https://xxxxxxxxxxxx,,,100-0005-17-Z_DD254,https://xxxxxxxxxxxx,Unclassified,,None,,,,,,10/4/2016,,,,,,,,,
100-0006-17-Z,2017,201610041751260987,201610041751260987,10/4/2016     5:51:26PM,10/13/2016,201610181324508342,201610181324508342,10/18/2016,10/18/2016,,No,"Bagadonuts, Joe",joe.bagadonuts@abc.de.fgh,ABC3A1,123-456-7891,12/31/2016,,,Telecommunications services,IT Services w/ or w/o Goods,Y,,Telecommunications services,,DTSPO,,,DTSPO,0.00,N/A,N/A,N/A,N/A,N/A,,,,,100-0006-17-Z_DD254,https://xxxxxxxxxxxx,Unclassified,,None,,,,,,10/4/2016,,,,,,,,,
100-0007-17-Z,2017,201610041811540782,201610041811540782,10/4/2016     6:11:54PM,10/5/2016,,,,,,No,"Bagadonuts, Joe",joe.bagadonuts@abc.de.fgh,ABC3A1,123-456-7891,11/3/2016,Full & Open Competition,new,Software licenses,IT Services w/ or w/o Goods,,,Software licenses,,Radiant Logic,,,Radiant Logic,0.00,For JWICS,Information Assurance,Service,Remote,NE,,,,,100-0007-17-Z_DD254,https://xxxxxxxxxxxx,Unclassified,FOUO,None,,,,,,10/4/2016,,,,,,,,,
100-0008-17-Z,2017,201610041917520408,201610041917520408,10/4/2016     7:17:52PM,10/5/2016,,,,,,No,"Bagadonuts, Joe",joe.bagadonuts@abc.de.fgh,ABC3A1,123-456-7891,1/2/2017,,modification,Information sergices,IT Services w/ or w/o Goods,,Yes,Information sergices,,CSRA,,,CSRA,0.00,N/A,N/A,N/A,ABCDE Contractors,CONUS and OCONUS,,,100-0008-17-Z_IGCE.pdf,https://xxxxxxxxxxxx,100-0008-17-Z_DD254,https://xxxxxxxxxxxx,Unclassified,FOUO,None,,,,,,10/4/2016,,,,,,,,,
100-0009-17-Z,2017,201610042058510616,201610042058510616,10/4/2016     8:58:51PM,10/5/2016,,,,,,No,"Bagadonuts, Joe",joe.bagadonuts@abc.de.fgh,ABC3A1,123-456-7891,10/14/2016,Other than Full & Open,modification,Cloud computing,IT Services w/ or w/o Goods,,Yes,Cloud computing,,NORTHROP GRUMMAN ENTERPRISE MANAGEMENT SERVICES,,,NORTHROP GRUMMAN ENTERPRISE MANAGEMENT SERVICES,0.00,For JWICS,N/A,N/A,Labor will be received,NE,,,100-0009-17-Z_IGCE.pdf,https://xxxxxxxxxxxx,100-0009-17-Z_DD254,https://xxxxxxxxxxxx,Unclassified,,None,,,,,,10/4/2016,,,,,,,,,
200-0001-17-Z,2017,201610051802580305,201610051802580305,10/5/2016     6:02:58PM,10/7/2016,,,,,,No,"Forth, Sally",Sally.forth@abc.de.fgh,DEF2A3,456-123-2891,1/1/2017,Full & Open Competition,modification,Software licenses,IT Goods Only,,,Software licenses,,"Forcepoint Federal, contract HHM402-16-F-0077",,,"Forcepoint Federal, contract HHM402-16-F-0077",0.00,For JWICS,Information Assurance,Service; Maintenance,Remote,NE,,,,,200-0001-17-Z_DD254,https://xxxxxxxxxxxx,Unclassified,FOUO,None,,,,,,10/4/2016,,,,,,,,,
